aX,aY,aZ,gX,gY,gZ
-0.003,-0.012,0.991,5.066,-6.165,-2.502
0.001,0.011,0.991,5.127,-8.423,-2.625
-0.021,0.012,0.980,5.127,-11.475,-1.221
-0.019,0.058,0.965,4.883,-11.597,0.732
0.016,0.105,0.969,4.395,-8.423,4.211
0.032,0.111,0.993,4.089,-5.432,10.193
0.027,0.073,0.995,3.723,-5.615,16.357
-0.010,0.007,0.993,3.845,-7.996,20.874
-0.054,-0.049,0.992,3.967,-10.559,22.156
-0.094,-0.096,0.983,4.272,-11.047,20.935
-0.090,-0.099,0.982,3.845,-9.583,18.250
-0.069,-0.071,0.980,3.479,-8.972,15.259
-0.065,-0.043,0.975,3.784,-9.644,13.489
-0.060,-0.031,0.973,3.967,-9.399,13.062
-0.081,-0.039,0.983,4.211,-7.324,13.611
-0.078,-0.035,0.973,3.784,-4.639,13.672
-0.044,0.029,0.961,3.296,-1.953,13.245
-0.016,0.099,0.991,2.869,-0.122,15.198
0.013,0.118,0.983,3.052,0.244,20.142
-0.020,0.083,0.996,3.662,-0.732,26.062
-0.036,0.045,0.999,3.235,-1.465,30.457
-0.058,-0.036,0.995,2.869,-2.075,32.043
-0.080,-0.057,0.989,2.319,-3.052,31.128
-0.084,-0.063,0.993,2.991,-4.822,28.442
-0.076,-0.037,0.987,3.113,-6.226,26.428
-0.076,-0.011,0.978,2.930,-7.507,24.597
-0.108,-0.015,0.971,3.113,-7.263,24.536
-0.124,-0.009,0.973,2.563,-5.249,24.475
-0.123,-0.023,0.979,2.441,-2.808,24.536
-0.119,-0.030,0.968,2.258,-1.099,24.170
-0.124,-0.033,0.968,2.197,-0.183,23.743
-0.125,-0.040,0.980,2.319,0.854,23.376
-0.142,-0.035,0.978,2.441,0.793,22.705
-0.149,-0.042,0.971,2.319,0.793,22.095
-0.156,-0.039,0.966,2.380,2.441,21.545
-0.148,-0.039,0.963,2.747,4.578,21.240
-0.137,-0.042,0.977,2.808,7.263,20.691
-0.123,-0.034,0.999,2.869,9.094,20.081
-0.117,-0.007,0.990,2.808,7.996,19.775
-0.099,0.051,0.930,3.052,6.226,19.897
-0.122,0.035,0.967,5.188,6.836,21.545
-0.097,0.029,0.987,4.883,9.888,23.865
-0.127,-0.000,0.997,4.456,9.460,26.062
-0.140,-0.022,0.994,3.967,8.118,27.405
-0.165,-0.063,0.994,3.235,6.775,27.527
-0.195,-0.084,0.993,2.502,5.859,27.039
-0.215,-0.074,0.987,2.502,3.113,25.452
-0.238,-0.068,0.981,2.686,1.343,24.170
-0.242,-0.048,0.983,2.319,0.793,23.254
-0.233,-0.030,0.965,2.197,-0.183,22.949

0.000,-0.048,0.987,1.038,3.235,-4.028
0.018,-0.057,1.000,0.305,2.563,-6.226
0.057,-0.082,0.990,-1.099,2.686,-9.094
0.092,-0.086,0.999,-2.075,1.587,-12.390
0.185,-0.061,0.971,-2.258,-2.563,-15.869
0.138,-0.104,1.024,-3.052,-4.639,-16.541
0.770,0.165,0.936,-2.991,-5.920,-17.761
0.483,0.035,1.073,1.099,-9.094,2.441
0.280,-0.004,0.885,1.221,-14.771,13.062
0.479,-0.073,1.025,2.686,4.639,13.123
0.414,-0.057,0.958,2.869,3.601,10.925
0.354,-0.187,0.997,3.235,0.671,8.301
0.330,-0.062,0.984,2.625,1.221,2.686
0.367,0.012,0.979,3.357,0.854,0.305
0.364,0.084,0.964,3.662,-0.244,0.244
0.347,0.068,0.977,3.601,-1.282,2.502
0.333,0.097,0.977,2.747,-1.526,4.944
0.294,0.079,0.980,3.174,-3.113,8.362
0.251,0.031,0.979,3.357,-3.662,11.963
0.201,-0.018,0.984,3.113,-4.028,14.526
0.154,-0.050,0.972,2.991,-4.639,15.259
0.094,-0.094,0.984,3.113,-4.639,15.015
0.051,-0.113,0.980,3.723,-3.967,13.855
0.006,-0.104,0.985,3.906,-3.540,11.047
0.017,-0.043,0.974,3.601,-2.991,8.118
0.027,0.000,0.999,3.357,-2.502,7.446
0.046,0.041,0.986,3.479,-2.441,9.338
0.021,0.058,0.965,3.784,-1.770,12.146
0.004,0.036,0.987,4.089,-0.916,15.198
-0.057,0.000,0.992,4.211,-0.732,17.517
-0.057,-0.014,0.985,4.272,0.977,18.921
-0.079,-0.027,0.982,4.211,1.160,19.226
-0.105,-0.051,0.984,4.272,0.916,19.287
-0.109,-0.075,0.981,4.333,0.610,18.616
-0.207,-0.128,0.957,4.517,0.061,16.907
0.097,-0.131,1.105,3.174,11.292,11.902
-0.101,-0.093,0.937,4.272,0.000,7.141
-0.158,-0.043,0.911,5.188,-16.541,5.127
